Group,sent_type,struc,prime_type,verb,verb_num,sent_id,sentence,question,response,truncated
list_1A,prime,rrc,NA,recorded,1,recorded1,The priest recorded by the mob preached against violence.,no
list_1A,prime,rrc,NA,recorded,2,recorded2,The management recorded by the employee talked about the importance of privacy.,no
list_1A,prime,rrc,NA,recorded,3,recorded3,The dancer recorded by his trainer practiced energetically.,no
list_1A,target,rrc,rrc,recorded,4,recorded4,The influencer recorded,yes
list_1A,prime,urc,NA,loved,1,loved1,The landlord who was loved by his tenants was very considerate.,no
list_1A,prime,urc,NA,loved,2,loved2,The comedian who was loved by the audience impersonated a famous celebrity.,no
list_1A,prime,urc,NA,loved,3,loved3,The kid who was loved by her parents went to bed with a smile.,no
list_1A,target,rrc,urc,loved,4,loved4,The janitor loved,yes
list_1A,prime,urc,NA,described,1,described1,The boy who was described by the lady glowed with joy.,no
list_1A,prime,urc,NA,described,2,described2,The secretary who was described by the visitor waited patiently.,no
list_1A,prime,urc,NA,described,3,described3,The chemist who was described by the writer was interested in philosophy.,no
list_1A,target,rrc,urc,described,4,described4,The physicist described,yes
list_1A,prime,amv,NA,examined,1,examined1,The defendant examined the lawyer and turned out to be unreliable.,no
list_1A,prime,amv,NA,examined,2,examined2,The engineer examined a licensor and passed with flying colors.,no
list_1A,prime,amv,NA,examined,3,examined3,The industrialist examined the auditor and hid the money in Switzerland.,no
list_1A,target,rrc,amv,examined,4,examined4,The patient examined,yes
list_1A,prime,urc,NA,envied,1,envied1,The officer who was envied by the assistant quit the job.,no
list_1A,prime,urc,NA,envied,2,envied2,The principal who was envied by the administration complained about the school's problems.,no
list_1A,prime,urc,NA,envied,3,envied3,The man who was envied by his sister bought a new car.,no
list_1A,target,rrc,urc,envied,4,envied4,The plumber envied,yes
list_1A,prime,urc,NA,captured,1,captured1,The policeman who was captured by the kidnapper refused to divulge any information.,no
list_1A,prime,urc,NA,captured,2,captured2,The witch who was captured by the peasant cackled gleefully.,no
list_1A,prime,urc,NA,captured,3,captured3,The suspect who was captured by the investigator looked terrified.,no
list_1A,target,rrc,urc,captured,4,captured4,The prisoners captured,yes
list_1A,prime,urc,NA,scratched,1,scratched1,The girl who was scratched by the cat enjoyed the sunny afternoon.,no
list_1A,prime,urc,NA,scratched,2,scratched2,The toddler who was scratched by the table exclaimed in surprise.,no
list_1A,prime,urc,NA,scratched,3,scratched3,The dog which was scratched by a stranger barked loudly.,no
list_1A,target,rrc,urc,scratched,4,scratched4,The diamond scratched,yes
list_1A,prime,rrc,NA,consoled,1,consoled1,The widow consoled by her family felt better eventually.,no
list_1A,prime,rrc,NA,consoled,2,consoled2,The teenager consoled by the friend went back home sullenly.,no
list_1A,prime,rrc,NA,consoled,3,consoled3,The woman consoled by her daughter smiled wistfully.,no
list_1A,target,rrc,rrc,consoled,4,consoled4,The athlete consoled,yes
list_1A,prime,amv,NA,attacked,1,attacked1,The troops attacked the terrorists and suffered heavy losses.,no
list_1A,prime,amv,NA,attacked,2,attacked2,The lion attacked the hunter and staggered back into the forest.,no
list_1A,prime,amv,NA,attacked,3,attacked3,The senator attacked the assassin and was sent to the hospital.,no
list_1A,target,rrc,amv,attacked,4,attacked4,The analyst attacked,yes
list_1A,prime,prog_rrc,NA,paid,1,paid1,The cashier being paid by the customer muttered something inaudibly.,no
list_1A,prime,prog_rrc,NA,paid,2,paid2,The organization being paid by the government expanded its mission.,no
list_1A,prime,prog_rrc,NA,paid,3,paid3,The broker being paid by the company signed the contract.,no
list_1A,target,rrc,prog_rrc,paid,4,paid4,The entrepreneur paid,yes
list_1A,prime,rrc,NA,accompanied,1,accompanied1,The prince accompanied by the duke arrived at the palace.,no
list_1A,prime,rrc,NA,accompanied,2,accompanied2,The children accompanied by their guardian skipped to the park.,no
list_1A,prime,rrc,NA,accompanied,3,accompanied3,The toddler accompanied by her parents went to the store.,no
list_1A,target,rrc,rrc,accompanied,4,accompanied4,The builder accompanied,yes
list_1A,prime,amv,NA,recognized,1,recognized1,The man recognized the spy and took off down the street.,no
list_1A,prime,amv,NA,recognized,2,recognized2,The actor recognized the reporter and waved enthusiastically.,no
list_1A,prime,amv,NA,recognized,3,recognized3,The poet recognized the writer and smiled to herself.,no
list_1A,target,rrc,amv,recognized,4,recognized4,The driver recognized,yes
list_1A,prime,prog_rrc,NA,chased,1,chased1,The dog being chased by the boy played with the ball.,no
list_1A,prime,prog_rrc,NA,chased,2,chased2,The monkey being chased by a hatter stole his hats.,no
list_1A,prime,prog_rrc,NA,chased,3,chased3,The thief being chased by the officer stopped running to catch his breath.,no
list_1A,target,rrc,prog_rrc,chased,4,chased4,The dentist chased,yes
list_1A,prime,rrc,NA,studied,1,studied1,The soldier studied by the general moved up in ranks.,no
list_1A,prime,rrc,NA,studied,2,studied2,The writer studied by the scholar wrote a radical book.,no
list_1A,prime,rrc,NA,studied,3,studied3,The apprentice studied by the blacksmith forged a shield.,no
list_1A,target,rrc,rrc,studied,4,studied4,The scholars studied,yes
list_1A,prime,rrc,NA,betrayed,1,betrayed1,The politician betrayed by the party denied the allegations.,no
list_1A,prime,rrc,NA,betrayed,2,betrayed2,The king betrayed by the genie arrested the innocent woman.,no
list_1A,prime,rrc,NA,betrayed,3,betrayed3,The businessman betrayed by his partner lost a lot of money.,no
list_1A,target,rrc,rrc,betrayed,4,betrayed4,The executive betrayed,yes
list_1A,prime,amv,NA,challenged,1,challenged1,The protestors challenged the authority and marched on the streets.,no
list_1A,prime,amv,NA,challenged,2,challenged2,The scientist challenged the journalist and demonstrated the value of the invention.,no
list_1A,prime,amv,NA,challenged,3,challenged3,The dragon challenged the wizard and roared loudly.,no
